chr11	3050030	3051667	5.2691e-08	-38.713758	62	45.895	84.609
chr11	3058793	3060844	0.0048578	-32.256283	51	44.735	76.991
chr11	3065880	3067745	0.016055	-36.124408	29	31.04	67.164
chr11	3075145	3076300	9.0734e-09	-57.763590	51	11.409	69.172
chr11	3076966	3077598	0.0015965	-60.249518	18	28.846	89.095
chr11	3079815	3080529	1.143e-05	-48.646559	24	42.928	91.574
chr11	3081787	3082593	1.4484e-07	-47.731092	30	44.62	92.351
chr11	3085513	3085807	0.039112	-49.474962	16	41.988	91.463
chr11	3089576	3090613	0.010724	-55.810803	29	21.747	77.558
chr11	3096142	3097784	2.908e-05	-54.721374	32	28.54	83.261
chr11	3099967	3101006	1.9209e-17	-52.449880	75	38.732	91.182
chr11	3114672	3115135	0.00085074	-57.267810	15	28.521	85.789
chr11	3115135	3115943	0.022816	-51.621216	16	29.626	81.247
chr11	3117311	3117771	0.037696	-52.054162	12	30.703	82.757
chr11	3121172	3121791	0.018911	-62.466469	12	27.817	90.283
chr11	3122833	3124119	2.5851e-07	-57.843759	32	31.326	89.17
chr11	3124416	3125196	0.014425	-55.575785	22	21.894	77.47
chr11	3128630	3129802	0.00022764	-57.845753	21	29.194	87.04
chr11	3136279	3136587	0.011004	-64.048555	15	24.384	88.433
chr11	3140211	3141103	0.0019527	-69.614130	22	18.563	88.177
chr11	3143286	3143628	2.1617e-07	-32.232956	56	31.107	63.339
chr11	3143636	3144648	1.2882e-07	-51.919675	38	28.585	80.504
chr11	3145016	3145654	0.041984	-70.001472	18	17.537	87.538
chr11	3150257	3151509	0.0051535	-81.608187	19	13.026	94.635
chr11	3153739	3156145	1.1451e-08	-72.253686	37	16.041	88.295
chr11	3175581	3176161	0.024522	-67.998016	20	30.018	98.016
chr11	3186642	3186985	0.014881	-64.384921	18	29.689	94.074
chr11	3191593	3192921	3.6688e-05	-64.065934	26	30.769	94.835
chr11	3195538	3197983	6.5923e-06	-68.094637	33	27.722	95.816
chr11	3198500	3200570	7.7423e-09	-70.984127	40	22.214	93.198
chr11	3200888	3203161	1.5476e-13	-88.726623	50	7.6619	96.389
chr11	3207405	3208857	4.5565e-08	-61.567460	38	35.71	97.278
chr11	3214781	3215352	0.00058843	-72.341270	19	21.491	93.832
chr11	3227299	3228698	0.00085011	-70.313853	29	11.724	82.038
chr11	3230065	3231601	3.1049e-06	-55.893101	37	35.518	91.411
chr11	3233013	3235714	2.4204e-17	-69.964636	60	23.052	93.016
